Date,Team,Acquired,Relinquished,Notes
03/10/2010,Bulls,,Carlos Boozer,fractured bone in right pinky finger (out indefinitely)
06/10/2010,Pistons,,Jonas Jerebko,torn right Achilles tendon (out indefinitely)
06/10/2010,Pistons,,Terrico White,broken fifth metatarsal in right foot (out indefinitely)
08/10/2010,Blazers,,Jeff Ayres,torn ACL in right knee (out indefinitely)
08/10/2010,Nets,,Troy Murphy,strained lower back (out indefinitely)
08/10/2010,Pistons,,Jonas Jerebko,surgery to repair torn right Achilles tendon
08/10/2010,Pistons,,Terrico White,surgery on right foot to repair broken fifth metatarsal
09/10/2010,Nuggets,,Al Harrington,partially torn plantar fascia in left foot (out indefinitely)
12/10/2010,Bucks,,Darington Hobson,surgery on left hip (out for season)
12/10/2010,Kings,,Samuel Dalembert,strained left groin (out indefinitely)
17/10/2010,Bobcats,,Dominic McGuire,stress fracture in left shin (out indefinitely)
18/10/2010,Warriors,,Lou Amundson,surgery to repair fractured right index finger (out indefinitely)
19/10/2010,Suns,,Josh Childress,fractured right index finger (out indefinitely)
22/10/2010,Heat,,Mike Miller,surgery on right hand to repair a broken thumb and ligament damage (out indefinitely)
25/10/2010,Thunder,,Nick Collison,left knee injury (out indefinitely)
25/10/2010,Timberwolves,,Martell Webster,surgery on back (out indefinitely)
26/10/2010,Heat,,Mario Chalmers,sprained ankle (out indefinitely)
27/10/2010,Bucks,,Jon Brockman,sprained left ankle (DNP)
27/10/2010,Bucks,,Luc Mbah a Moute,sprained right ankle (DNP)
28/10/2010,Grizzlies,,Zach Randolph,back injury (DTD)
28/10/2010,Hawks,,Maurice Evans,right knee inflammation (DTD)
28/10/2010,Spurs,,Matt Bonner,sprained right ankle (DTD)
29/10/2010,Heat,Mario Chalmers,,returned to lineup
29/10/2010,Pistons,,Will Bynum,sore right hamstring (DNP)
30/10/2010,Pistons,,Will Bynum,sore right hamstring (DNP)
02/11/2010,Pistons,,Richard Hamilton,sore right foot (DNP)
02/11/2010,Pistons,,Will Bynum,sore right hamstring (DNP)
03/11/2010,Hawks,,Jamal Crawford,turf toe (DNP)
03/11/2010,Jazz,,Jeremy Evans,sprained right wrist (DNP)
03/11/2010,Jazz,,Kyrylo Fesenko,stomach illness (DNP)
03/11/2010,Nuggets,,Nene Hilario ,strained left groin (DNP)
03/11/2010,Pistons,,Richard Hamilton,sore right foot (DNP)
03/11/2010,Pistons,,Will Bynum,sore right hamstring (DNP)
03/11/2010,Warriors,,Brandan Wright,stomach virus (DTD)
04/11/2010,Blazers,,Elliot Williams,"dislocated patella in right knee (surgery, out for season)"
05/11/2010,Bucks,,Andrew Bogut,migraine headache (DNP)
05/11/2010,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
05/11/2010,Jazz,,Jeremy Evans,sprained right ankle (DNP)
05/11/2010,Nuggets,,Nene Hilario ,strained left groin (DNP)
06/11/2010,Blazers,,Rudy Fernandez,back injury (DNP)
06/11/2010,Nuggets,,Nene Hilario ,strained left groin (DNP)
06/11/2010,Raptors,,Sonny Weems,ankle injury (DTD)
07/11/2010,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
08/11/2010,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
08/11/2010,Magic,,Mickael Pietrus,DNP
09/11/2010,Bucks,,Carlos Delfino,strained neck (DNP)
10/11/2010,Bucks,,Carlos Delfino,strained neck (DNP)
10/11/2010,Clippers,,Chris Kaman,sprained left ankle (DNP)
10/11/2010,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
10/11/2010,Raptors,,David Andersen,flu (DTD)
10/11/2010,Timberwolves,,Wayne Ellington,thigh injury (DTD)
10/11/2010,Clippers,,Eric Gordon,sore left shoulder (DNP)
11/11/2010,Celtics,,Jermaine O'Neal,sore left knee (DNP)
11/11/2010,Rockets,,Yao Ming,sprained left ankle (DTD)
11/11/2010,Spurs,,James Anderson,stress fracture in right foot (out indefinitely)
11/11/2010,Warriors,,David Lee,placed on IL with infection in left elbow
12/11/2010,Warriors,,David Lee,surgery on left elbow to repair infection
12/11/2010,Clippers,,Randy Foye,strained left hamstring (DNP)
13/11/2010,Bucks,,Carlos Delfino,strained neck (DNP)
13/11/2010,Celtics,,Jermaine O'Neal,sore left knee (DNP)
13/11/2010,Raptors,,Reggie Evans,flu-like symptoms (DNP)
14/11/2010,Rockets,,Chase Budinger,sprained left ankle (DNP)
14/11/2010,Timberwolves,,Nikola Pekovic,sprained left ankle (DNP)
14/11/2010,Timberwolves,,Wayne Ellington,bruised left thigh (DNP)
15/11/2010,Clippers,,Randy Foye,strained left hamstring (DNP)
15/11/2010,Jazz,,Raja Bell,strained left abductor (DNP)
15/11/2010,Timberwolves,,Nikola Pekovic,left foot injury (DNP)
15/11/2010,Timberwolves,,Wayne Ellington,bruised left thigh (DNP)
16/11/2010,Blazers,,Brandon Roy,sore left knee (DNP)
16/11/2010,Bucks,,Carlos Delfino,strained neck (DNP)
17/11/2010,Clippers,,Randy Foye,strained left hamstring (DNP)
17/11/2010,Jazz,,Kyrylo Fesenko,dizziness (DNP)
17/11/2010,Rockets,,Chase Budinger,sprained left ankle (DNP)
18/11/2010,Blazers,,Brandon Roy,sore left knee (DNP)
18/11/2010,Magic,,Jason Williams,foot injury (DTD)
19/11/2010,Blazers,,Greg Oden,mircofracture surgery on left knee (out for season)
19/11/2010,Bucks,,Carlos Delfino,strained neck (DNP)
19/11/2010,Heat,,Juwan Howard,broken nose (DNP)
19/11/2010,Knicks,,Timofey Mozgov,left calf injury (DNP)
19/11/2010,Warriors,,Brandan Wright,strained lower back (DNP)
20/11/2010,Blazers,,Brandon Roy,sore left knee (DNP)
20/11/2010,Bucks,,Carlos Delfino,strained neck (DNP)
20/11/2010,Suns,,Steve Nash,strained groin (DNP)
21/11/2010,Wizards,,John Wall ,sprained left foot (DNP)
22/11/2010,Hornets,,Marcus Thornton ,DNP
22/11/2010,Warriors,,Brandan Wright,strained lower back (DNP)
23/11/2010,Heat,,Udonis Haslem,surgery on left foot to repair torn ligament (out for season)
24/11/2010,Bucks,,Andrew Bogut,sore back (DNP)
24/11/2010,Bucks,,Carlos Delfino,strained neck (DNP)
24/11/2010,Bulls,,Taj Gibson,right ankle/foot injury (DNP)
24/11/2010,Celtics,,Delonte West,broken right wrist (out indefinitely)
24/11/2010,Magic,Jason Williams,,returned to lineup
24/11/2010,Warriors,,Brandan Wright,strained lower back (DNP)
26/11/2010,Bucks,,Andrew Bogut,sore back (DNP)
26/11/2010,Bucks,,Carlos Delfino,strained neck (DNP)
26/11/2010,Raptors,,Reggie Evans,broken right foot (out indefinitely)
26/11/2010,Warriors,,Brandan Wright,strained lower back (DNP)
27/11/2010,Bucks,,Andrew Bogut,sore back (DNP)
27/11/2010,Bucks,,Corey Maggette,sore left ankle (DNP)
27/11/2010,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
27/11/2010,Wizards,,John Wall ,bruised right knee (P) / sore left knee (CBC) (DNP)
28/11/2010,Blazers,,Sean Marks,sprained right ankle (DNP)
28/11/2010,Clippers,,Randy Foye,strained left hamstring (DNP)
28/11/2010,Knicks,,Toney Douglas,bruised right quadriceps (DNP)
28/11/2010,Lakers,,Devin Ebanks,gastroenteritis (DNP)
28/11/2010,Raptors,,Peja Stojakovic,swollen left knee (DNP)
28/11/2010,Raptors,,Reggie Evans,broken right foot (DNP)
29/11/2010,Bucks,,Andrew Bogut,sore back (DNP)
29/11/2010,Bucks,,Corey Maggette,illness (DNP)
29/11/2010,Bucks,,Drew Gooden,left foot injury (DNP)
29/11/2010,Wizards,,John Wall ,bruised right knee (P) (DNP)
30/11/2010,Celtics,,Delonte West,surgery to repair broken right wrist
30/11/2010,Knicks,Toney Douglas,,returned to lineup
01/12/2010,Bucks,,Andrew Bogut,sore back (DNP)
01/12/2010,Raptors,,Peja Stojakovic,swollen left knee (DNP)
02/12/2010,Hawks,,Joe Johnson,arthroscopic surgery on right elbow to remove loose particle (out indefinitely)
03/12/2010,Hornets,,David West,stomach virus (DNP)
03/12/2010,Magic,,Dwight Howard,stomach virus (DNP)
03/12/2010,Magic,,Jameer Nelson,stomach virus (DNP)
03/12/2010,Raptors,,Peja Stojakovic,swollen left knee (DNP)
03/12/2010,Magic,,J.J. Redick,stomach virus (DNP)
04/12/2010,Magic,,Dwight Howard,stomach virus (DNP)
04/12/2010,Magic,,J.J. Redick,stomach virus (DNP)
04/12/2010,Magic,,Jameer Nelson,stomach virus (DNP)
04/12/2010,Magic,,Ryan Anderson,sprained right foot (DNP)
04/12/2010,Timberwolves,,Michael Beasley,sprained right ankle (DNP)
05/12/2010,Celtics,,Rajon Rondo,strained hamstring (DNP)
05/12/2010,Raptors,,Peja Stojakovic,sore/swollen left knee (DNP)
05/12/2010,Thunder,,D.J. White,sprained right ankle (DTD)
05/12/2010,Warriors,,Rodney Carney,sprained left foot (DTD)
06/12/2010,Magic,,Jameer Nelson,stomach flu (DNP)
06/12/2010,Bucks,,Drew Gooden,patella tendinitis in left foot (DNP)
08/12/2010,Celtics,Rajon Rondo,,returned to lineup
08/12/2010,Jazz,,Kyrylo Fesenko,sprained left ankle (DNP)
08/12/2010,Nuggets,,Carmelo Anthony,right knee inflammation (DNP)
08/12/2010,Raptors,,Peja Stojakovic,swollen left knee (DNP)
08/12/2010,Timberwolves,,Darko Milicic,bruised right quadriceps (DNP)
08/12/2010,Wizards,,John Wall ,sore left foot (DNP)
09/12/2010,Celtics,,Shaquille O'Neal,sore right calf (P) / sore left knee (CBC) (DNP)
10/12/2010,Bobcats,,Tyrus Thomas,quadriceps injury (DTD)
10/12/2010,Hawks,,Zaza Pachulia,illness (DTD)
10/12/2010,Jazz,,Raja Bell,groin injury (DTD)
10/12/2010,Raptors,,Jose Calderon,sore left foot (DTD)
10/12/2010,Thunder,,Nenad Krstic,back injury (DTD)
10/12/2010,Thunder,D.J. White,,returned to lineup
10/12/2010,Timberwolves,Darko Milicic,,returned to lineup
10/12/2010,Warriors,,Stephen Curry,sprained right ankle (DTD)
11/12/2010,Cavaliers,,Ryan Hollins,stomach virus (DTD)
11/12/2010,Jazz,,Kyrylo Fesenko,sprained left ankle (DNP)
11/12/2010,Jazz,,Raja Bell,strained right abductor (DNP)
11/12/2010,Nuggets,,Carmelo Anthony,right knee patella tendinitis (DNP)
11/12/2010,Raptors,,Peja Stojakovic,swollen left knee (DNP)
12/12/2010,Magic,,Chris Duhon,strained lower back (DNP)
13/12/2010,Jazz,,Raja Bell,strained right abductor (DNP)
13/12/2010,Nets,,Damion James,surgery to insert screw to repair broken right foot (out indefinitely)
14/12/2010,Kings,,Tyreke Evans,left foot injury (DTD)
14/12/2010,Magic,,Mickael Pietrus,sprained left knee (DNP)
14/12/2010,Magic,,Quentin Richardson,sore left elbow (DNP)
14/12/2010,Nuggets,,Chauncey Billups,sprained right wrist (DNP)
14/12/2010,Raptors,,Peja Stojakovic,swollen left knee (DNP)
15/12/2010,Bucks,,John Salmons,back spasms (DNP)
15/12/2010,Bulls,,Joakim Noah,torn ligament in right thumb (out indefinitely)
15/12/2010,Celtics,,Shaquille O'Neal,sore right calf (DNP)
15/12/2010,Raptors,,Andrea Bargnani,sore left knee (DNP)
15/12/2010,Raptors,,Peja Stojakovic,swollen left knee (DNP)
15/12/2010,Wizards,,Jianlian Yi,sprained right knee (out indefinitely)
16/12/2010,Bulls,,Joakim Noah,surgery on right thumb to repair torn ligament (out indefinitely)
16/12/2010,Celtics,,Rajon Rondo,sprained left ankle (DNP)
16/12/2010,Celtics,,Shaquille O'Neal,sore right calf (DNP)
16/12/2010,Nets,,Anthony Morrow,strained right hamstring (DNP)
16/12/2010,Nuggets,,Chauncey Billups,torn ligament in right wrist (DNP)
16/12/2010,Rockets,,Yao Ming,stress fracture in left ankle (out for season)
16/12/2010,Spurs,,Tiago Splitter,strained right adductor (DTD)
16/12/2010,Wizards,,John Wallace,right knee tendinitis (DNP)
17/12/2010,Blazers,,Brandon Roy,sore left knee (DNP)
17/12/2010,Raptors,,Sonny Weems,sore lower back (DNP)
18/12/2010,Blazers,,Brandon Roy,sore left knee (DNP)
18/12/2010,Blazers,,Marcus Camby,sore right shoulder (DNP)
18/12/2010,Blazers,,Nicolas Batum,sore right shoulder (DNP)
18/12/2010,Nuggets,,Chauncey Billups,torn ligament in right wrist (DNP)
18/12/2010,Spurs,,George Hill,sprained right big toe (DNP)
19/12/2010,Celtics,,Rajon Rondo,sprained left ankle (DNP)
19/12/2010,Nets,,Quinton Ross,bruised lower back (DNP)
19/12/2010,Pistons,,Richard Hamilton,upset stomach (DNP)
19/12/2010,Pistons,,Rodney Stuckey,sore left big toe (DNP)
19/12/2010,Raptors,,Andrea Bargnani,sore right ankle (DNP)
19/12/2010,Raptors,,Sonny Weems,back spasms (DNP)
20/12/2010,Blazers,,Brandon Roy,sore left knee (DNP)
20/12/2010,Blazers,,Marcus Camby,strained right shoulder (DNP)
20/12/2010,Clippers,,Craig Smith,back injury (out indefinitely)
20/12/2010,Spurs,,George Hill,sprained right big toe (DNP)
20/12/2010,Warriors,,Dan Gadzuric,strained left groin (DNP)
20/12/2010,Bucks,,Carlos Delfino,concussion (DNP)
21/12/2010,Bucks,,Carlos Delfino,concussion (DNP)
21/12/2010,Bucks,,Drew Gooden,sore left foot (DNP)
21/12/2010,Magic,,Malik Allen,sprained left ankle (DNP)
21/12/2010,Nets,,Quinton Ross,bruised lower back (DNP)
21/12/2010,Warriors,,Dan Gadzuric,strained left groin (DNP)
22/12/2010,Celtics,,Rajon Rondo,sprained left ankle (DNP)
22/12/2010,Nets,,Quinton Ross,bruised lower back (DNP)
22/12/2010,Raptors,,Jerryd Bayless,food poisoning (DNP)
22/12/2010,Raptors,,Sonny Weems,back spasms (DNP)
22/12/2010,Spurs,,George Hill,sprained right big toe (DNP)
23/12/2010,Bucks,,Carlos Delfino,concussion (DNP)
23/12/2010,Bucks,,Drew Gooden,sore left foot (DNP)
23/12/2010,Magic,,Daniel Orton,arthroscopic surgery on left knee (out for season)
23/12/2010,Spurs,,George Hill,sprained right big toe (DNP)
25/12/2010,Blazers,,Brandon Roy,sore left knee (DNP)
25/12/2010,Celtics,,Semih Erden,stomach virus (DTD)
25/12/2010,Magic,,Jason Williams,sore left foot (DNP)
27/12/2010,76ers,,Andre Iguodala,right Achilles tendinitis (DNP)
27/12/2010,Blazers,,Brandon Roy,sore left knee (DNP)
27/12/2010,Bucks,,Drew Gooden,sore left foot (DNP)
27/12/2010,Magic,,Jason Williams,sore left foot (DNP)
27/12/2010,Raptors,,Sonny Weems,back spasms (DNP)
28/12/2010,Blazers,,Brandon Roy,sore left knee (DNP)
28/12/2010,Blazers,,Marcus Camby,sprained right ankle (P) / left ankle (CBC) (DNP)
28/12/2010,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
28/12/2010,Magic,,Jason Williams,sore left foot (DNP)
28/12/2010,Magic,,Quentin Richardson,flu-like symptoms (DNP)
28/12/2010,Raptors,,Jose Calderon,sore ankle (DNP)
28/12/2010,Raptors,,Sonny Weems,back spasms (DNP)
29/12/2010,Cavaliers,,Mo Williams,strained left hip flexor (DNP)
29/12/2010,Celtics,,Semih Erden,upper respiratory infection (DNP)
29/12/2010,Jazz,,C.J. Miles,flu-like symptoms (DNP)
29/12/2010,Nuggets,,Kenyon Martin,sore left knee (DNP)
29/12/2010,Nuggets,,Nene Hilario ,sore hamstring (DNP)
30/12/2010,Jazz,,C.J. Miles,flu (DNP)
30/12/2010,Jazz,,Mehmet Okur,strained lower back (DNP)
30/12/2010,Magic,,Jason Williams,sore left foot (DNP)
30/12/2010,Magic,,Quentin Richardson,flu-like symptoms (DNP)
30/12/2010,Rockets,,Chuck Hayes,sprained right ankle (out indefinitely)
31/12/2010,Cavaliers,,Anderson Varejao,fractured cheekbone (out indefinitely)
31/12/2010,Hawks,,Marvin Williams,bruised back (DTD)
31/12/2010,Nets,,Jordan Farmar,bone bruise in right knee (DNP)
31/12/2010,Raptors,,Sonny Weems,back spasms (DNP)
31/12/2010,Warriors,,Brandan Wright,strained lower back (out indefinitely)
31/12/2010,Celtics,,Rajon Rondo,sprained left ankle (DNP)
01/01/2011,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
01/01/2011,Cavaliers,,Daniel Gibson,bruised left thigh (DNP)
01/01/2011,Cavaliers,,Mo Williams,strained left hip flexor (DNP)
01/01/2011,Grizzlies,,Rudy Gay,stomach virus (DNP)
01/01/2011,Grizzlies,,Xavier Henry,sore right knee (DNP)
01/01/2011,Jazz,,C.J. Miles,flu-like symptoms (DNP)
01/01/2011,Mavericks,,Shawn Marion,bruised thigh (DNP)
01/01/2011,Nets,,Jordan Farmar,bone bruise in right knee (DNP)
02/01/2011,Blazers,,Brandon Roy,sore left knee (DNP)
02/01/2011,Knicks,,Timofey Mozgov,shin injury (DTD)
02/01/2011,Raptors,,Jerryd Bayless,sprained left ankle (DNP)
02/01/2011,Raptors,,Sonny Weems,back spasms (DNP)
03/01/2011,76ers,,Spencer Hawes,strained back (DNP)
03/01/2011,Knicks,,Danilo Gallinari,sprained left knee (out indefinitely)
03/01/2011,Pistons,,Chris Wilcox,groin injury (DTD)
03/01/2011,Warriors,Brandan Wright,,returned to lineup
04/01/2011,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
04/01/2011,Grizzlies,,O.J. Mayo,bronchitis (DNP)
04/01/2011,Grizzlies,,Xavier Henry,sore right knee (DNP)
04/01/2011,Mavericks,,Caron Butler,surgery on right knee to repair torn patella tendon (out for season)
05/01/2011,76ers,,Tony Battie,rotator cuff injury (DTD)
05/01/2011,Bobcats,,DeSagana Diop,surgery to repair ruptured right Achilles tendon (out for season)
05/01/2011,Bobcats,,Stephen Jackson,hyperextended left knee (DNP)
05/01/2011,Bucks,,Brandon Jennings,surgery on left foot (out indefinitely)
05/01/2011,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
05/01/2011,Jazz,,Paul Millsap,bruised right hip (DNP)
06/01/2011,Cavaliers,,Daniel Gibson,sprained left ankle (DTD)
06/01/2011,Suns,,Gani Lawal,torn ACL and partially torn MCL in right knee (out for season)
07/01/2011,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
07/01/2011,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
07/01/2011,Cavaliers,,Anderson Varejao,torn tendon in right ankle (out for season)
07/01/2011,Cavaliers,,Anthony Parker,strained lower back (DNP)
07/01/2011,Raptors,,Jerryd Bayless,sprained left ankle (DNP)
07/01/2011,Rockets,,Yao Ming,surgery on left ankle to repair stress fracture (out for season)
07/01/2011,Raptors,,Sonny Weems,back spasms (DNP)
08/01/2011,Bucks,,Andrew Bogut,virus (DNP)
08/01/2011,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
08/01/2011,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
08/01/2011,Lakers,,Matt Barnes,torn cartilage in right knee (out indefinitely)
08/01/2011,Nets,,Devin Harris,bruised right quadriceps (DNP)
09/01/2011,Cavaliers,,Anthony Parker,strained lower back (DNP)
09/01/2011,Nuggets,,Ty Lawson,strained left knee (DNP)
09/01/2011,Raptors,,Sonny Weems,back spasms (DNP)
10/01/2011,Rockets,,Brad Miller,sore right knee (DNP)
11/01/2011,Cavaliers,,Anderson Varejao,torn tendon in right ankle (DNP)
11/01/2011,Cavaliers,,Anthony Parker,strained lower back (DNP)
11/01/2011,Knicks,,Anthony Randolph,flu-like symptoms (DNP)
11/01/2011,Lakers,,Matt Barnes,surgery on right knee to repair torn lateral meniscus (out indefinitely)
12/01/2011,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
12/01/2011,Celtics,,Jermaine O'Neal,sore left knee (DNP)
12/01/2011,Grizzlies,,Tony Allen,sore left knee (DNP)
12/01/2011,Nets,,Anthony Morrow,strained right hamstring (DNP)
12/01/2011,Rockets,,Brad Miller,sore right knee (DNP)
12/01/2011,Warriors,,Reggie Williams,Achilles tendon injury (DTD)
13/01/2011,Heat,,LeBron James,sprained left ankle (DNP)
13/01/2011,Wizards,,Andray Blatche,sprained right shoulder (DNP)
14/01/2011,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
14/01/2011,Cavaliers,,Christian Eyenga,sprained right ankle (DNP)
14/01/2011,Cavaliers,,Daniel Gibson,sprained left ankle (DNP)
14/01/2011,Celtics,,Jermaine O'Neal,sore left knee (DNP)
14/01/2011,Celtics,,Kevin Garnett,strained right leg (DNP)
14/01/2011,Knicks,,Ronny Turiaf,right hip pointer (DTD)
14/01/2011,Raptors,,Leandro Barbosa,strained right hamstring (DTD)
14/01/2011,Spurs,,Matt Bonner,sore right knee (DTD)
14/01/2011,Warriors,,Brandan Wright,strained lower back (DTD)
14/01/2011,Cavaliers,,Joey Graham,strained right quadriceps (DNP)
15/01/2011,Cavaliers,,Christian Eyenga,sprained left ankle (DNP)
15/01/2011,Cavaliers,,Daniel Gibson,sprained right ankle (DNP)
15/01/2011,Cavaliers,,Joey Graham,strained right quadriceps (DNP)
15/01/2011,Grizzlies,,Tony Allen,sore left knee (DNP)
15/01/2011,Nets,,Anthony Morrow,strained right hamstring (DNP)
15/01/2011,Raptors,,Jerryd Bayless,sore/sprained left ankle (DNP)
15/01/2011,Raptors,,Leandro Barbosa,strained right hamstring (DNP)
16/01/2011,Spurs,,Matt Bonner,sore right knee (DNP)
17/01/2011,Blazers,,Brandon Roy,arthroscopic surgery on both knees (out indefinitely)
17/01/2011,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
17/01/2011,Bulls,,Carlos Boozer,sprained left ankle (DNP)
17/01/2011,Celtics,,Jermaine O'Neal,sore left knee (DNP)
17/01/2011,Grizzlies,,Tony Allen,sore left knee (DNP)
17/01/2011,Nets,,Anthony Morrow,strained right hamstring (DNP)
17/01/2011,Raptors,,Jerryd Bayless,sore left ankle (DNP)
17/01/2011,Raptors,,Leandro Barbosa,strained right hamstring (DNP)
17/01/2011,Raptors,,Linas Kleiza,sore right knee (DNP)
17/01/2011,Rockets,,Patrick Patterson,upper respiratory distress / flu (DNP)
18/01/2011,Bulls,,Carlos Boozer,sprained left ankle (DNP)
19/01/2011,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
19/01/2011,Bucks,,John Salmons,sore right hip (DNP)
19/01/2011,Celtics,,Jermaine O'Neal,sore left knee (DNP)
19/01/2011,Grizzlies,,Tony Allen,sore left knee (DNP)
19/01/2011,Raptors,,Leandro Barbosa,strained right hamstring (DNP)
20/01/2011,Bulls,,Carlos Boozer,sprained left ankle (DNP)
20/01/2011,Blazers,,Marcus Camby,arthroscopic surgery on left knee to repair torn meniscus
20/01/2011,Blazers,,Marcus Camby,recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP)
21/01/2011,Bucks,,John Salmons,sore right hip (DNP)
21/01/2011,Celtics,,Jermaine O'Neal,sore left knee (DNP)
21/01/2011,Celtics,,Shaquille O'Neal,hip injury (DTD)
21/01/2011,Hornets,,Trevor Ariza,right ankle tendinitis / knee tendinitis (CBC) (DNP)
21/01/2011,Pistons,,Charlie Villanueva,sprained left ankle (DTD)
21/01/2011,Raptors,,Joey Dorsey,sore right knee (DTD)
21/01/2011,Raptors,,Leandro Barbosa,strained right hamstring (DNP)
21/01/2011,Spurs,,George Hill,sprained right thumb (DNP)
21/01/2011,Wizards,,Kirk Hinrich,sprained elbow (DTD)
22/01/2011,Blazers,,Marcus Camby,recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP)
22/01/2011,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
22/01/2011,Bucks,,John Salmons,strained right hip (DNP)
22/01/2011,Cavaliers,,Anthony Parker,strained lower back (DNP)
22/01/2011,Celtics,,Jermaine O'Neal,sore left knee (DNP)
22/01/2011,Celtics,,Shaquille O'Neal,sore right knee (DNP)
22/01/2011,Heat,,Dwyane Wade,migraine headache (DNP)
22/01/2011,Hornets,,Trevor Ariza,right knee tendinitis (DNP)
22/01/2011,Magic,,Jason Williams,foot injury (out indefinitely)
22/01/2011,Raptors,,Joey Dorsey,strained right patella tendon (DNP)
22/01/2011,Raptors,,Leandro Barbosa,strained right hamstring (DNP)
22/01/2011,Raptors,,Linas Kleiza,sore right knee (DNP)
22/01/2011,Spurs,,George Hill,sprained right thumb (DNP)
24/01/2011,Bucks,,John Salmons,strained right hip (DNP)
24/01/2011,Cavaliers,,Anthony Parker,strained lower back (DNP)
24/01/2011,Raptors,,Joey Dorsey,strained right patella tendon (DNP)
24/01/2011,Raptors,,Jose Calderon,flu-like symptoms / ankle injury (CBC) (DNP)
24/01/2011,Raptors,,Linas Kleiza,sore right knee (DNP)
25/01/2011,Celtics,,Shaquille O'Neal,sore right leg (DNP)
25/01/2011,Clippers,,Eric Gordon,sprained right wrist (DNP)
26/01/2011,Bucks,,John Salmons,strained right hip (DNP)
26/01/2011,Clippers,,Eric Gordon,sprained right wrist (DNP)
26/01/2011,Nuggets,,Kenyon Martin,left knee injury (DNP)
27/01/2011,Celtics,,Shaquille O'Neal,sore right hip (DNP)
28/01/2011,Bucks,,John Salmons,strained right hip (DNP)
28/01/2011,Heat,,Dwyane Wade,sprained right wrist (DNP)
28/01/2011,Jazz,,Deron Williams,strained tendon in right wrist (DNP)
28/01/2011,Jazz,,Mehmet Okur,strained lower back (DTD)
28/01/2011,Nets,,Jordan Farmar,strained lower back (DNP)
28/01/2011,Pistons,,Rodney Stuckey,bruised right shoulder (DNP)
28/01/2011,Wizards,,Kirk Hinrich,sprained right ankle (DNP)
29/01/2011,Bucks,,John Salmons,strained right hip (DNP)
29/01/2011,Nets,,Jordan Farmar,strained lower back (DNP)
29/01/2011,Wizards,,Mustafa Shakur,right leg injury (DTD)
30/01/2011,Jazz,,Deron Williams,strained tendon in right wrist (DNP)
30/01/2011,Knicks,,Wilson Chandler,sore left calf (DNP)
30/01/2011,Magic,,Gilbert Arenas,bruised left knee (P) / sore right knee (CBC) (DNP)
30/01/2011,Pistons,,Rodney Stuckey,bruised right shoulder (DNP)
30/01/2011,Suns,,Gani Lawal,surgery on right knee to repair torn ACL and partially torn MCL (out for season)
31/01/2011,Cavaliers,,Daniel Gibson,bruised left quadriceps (DNP)
31/01/2011,Clippers,,Eric Gordon,sprained right wrist (DNP)
31/01/2011,Jazz,,Deron Williams,strained tendon in right wrist (DNP)
31/01/2011,Magic,,J.J. Redick,sore left shoulder (DTD)
31/01/2011,Nets,,Jordan Farmar,strained lower back (DNP)
01/02/2011,Kings,,Jason Thompson,sprained right ankle (DNP)
01/02/2011,Lakers,,Andrew Bynum,bone bruised in left knee (DNP)
02/02/2011,Bucks,,Keyon Dooling,flu (DNP)
02/02/2011,Bucks,,Larry Sanders ,illness (DNP)
02/02/2011,Cavaliers,,Daniel Gibson,bruised left quadriceps (DNP)
02/02/2011,Clippers,,Eric Gordon,sprained right wrist (DNP)
02/02/2011,Jazz,,Andrei Kirilenko,sprained left ankle (DNP)
02/02/2011,Jazz,,Deron Williams,strained tendon in right wrist (DNP)
02/02/2011,Pistons,,Jason Maxiell,sore back (DNP)
02/02/2011,Rockets,,Jordan Hill,sprained ankle (DNP)
03/02/2011,Bucks,,Chris Douglas-Roberts,DNP
03/02/2011,Magic,,Brandon Bass,sprained left ankle (DNP)
03/02/2011,Raptors,,Linas Kleiza,microfracture surgery on right knee to repair cartilage damage (out for season)
04/02/2011,Celtics,,Shaquille O'Neal,sore right leg / Achilles tendon (CBC) (DNP)
04/02/2011,Clippers,,Eric Gordon,sprained right wrist (DNP)
04/02/2011,Jazz,,Andrei Kirilenko,sprained left ankle (DNP)
04/02/2011,Kings,,Hassan Whiteside,torn patella tendon in left knee (out for season)
04/02/2011,Kings,,Jason Thompson,sprained right ankle (DNP)
